0,Study Results
sofa,3.9
soff,3.5
EvaFBX,2.6
Satis New Zealand,2.9
Fridhem_3ds,2.6
fsdd03,2.8
0,Study Results
sofa,3.9
soff,3.5
EvaFBX,2.6
Satis New Zealand,2.9
Fridhem_3ds,2.6
fsdd03,2.8
0,Study Results
sofa,3.9
soff,3.5
EvaFBX,2.6
Satis New Zealand,2.9
Fridhem_3ds,2.6
fsdd03,2.8
1,Study Results
sofa,4
soff,3.9
EvaFBX,2.7
Satis New Zealand,1.8
Fridhem_3ds,3
fsdd03,4
2,Study Results
sofa,4.1
soff,3.4
EvaFBX,4.1
Satis New Zealand,2.8
Fridhem_3ds,4.1
fsdd03,4.1
3,Study Results
sofa,3.1
soff,1.7
EvaFBX,5.1
Satis New Zealand,3.5
Fridhem_3ds,3.9
fsdd03,2.6
6,Study Results
sofa,2.6
soff,4.4
EvaFBX,2.4
Satis New Zealand,3.5
Fridhem_3ds,4.5
fsdd03,3.3
